player_name,OVERALL_PICK,Totals_FG,Totals_FT,Totals_TRB,Totals_BLK,Totals_STL,Totals_TOV,Totals_PF,Shooting_FG%,MP,Age
Ben Gordon,3,239,141,184,6.0,53.0,108.0,91.0,0.434,1346.0,20.0
Devin Harris,5,189,171,139,4.0,56.0,66.0,62.0,0.459,1162.0,20.0
Josh Childress,6,124,78,173,37.0,20.0,51.0,54.0,0.488,685.0,20.0
Luol Deng,7,210,98,255,39.0,49.0,83.0,82.0,0.476,1149.0,18.0
Andre Iguodala,9,136,93,253,11.0,48.0,83.0,75.0,0.45,962.0,20.0
Luke Jackson,10,210,163,223,5.0,39.0,93.0,53.0,0.488,1072.0,22.0
Kris Humphries,14,221,170,294,33.0,27.0,82.0,65.0,0.444,990.0,18.0
Kirk Snyder,16,209,166,195,22.0,35.0,119.0,72.0,0.431,1079.0,20.0
Jameer Nelson,20,234,118,150,1.0,89.0,91.0,59.0,0.475,1085.0,21.0
Delonte West,24,212,124,172,6.0,55.0,82.0,60.0,0.51,1073.0,20.0
Tony Allen,25,207,101,194,,,,,0.51,967.0,19.0
Tony Allen,25,204,131,193,30.0,72.0,98.0,105.0,0.504,1107.0,22.0
Kevin Martin,26,208,206,130,8.0,50.0,84.0,52.0,0.474,843.0,20.0
David Harrison,29,186,125,254,85.0,17.0,78.0,94.0,0.631,916.0,21.0
Jackson Vroman,31,186,72,307,22.0,46.0,101.0,112.0,0.564,983.0,22.0
Lionel Chalmers,33,204,105,122,1.0,40.0,103.0,78.0,0.449,1293.0,23.0
Donta Smith,34,278,231,236,,,,,0.54,,20.0
Andre Emmett,35,260,165,225,10.0,44.0,70.0,49.0,0.526,1259.0,21.0
Antonio Burks,36,176,72,96,7.0,71.0,74.0,69.0,0.474,1030.0,23.0
Royal Ivey,37,111,77,133,8.0,41.0,51.0,83.0,0.448,979.0,22.0
Chris Duhon,38,138,65,150,7.0,80.0,104.0,76.0,0.448,1311.0,21.0
Justin Reed,40,193,117,209,23.0,19.0,83.0,86.0,0.464,939.0,22.0
David Young,41,18,8,23,0.0,7.0,4.0,13.0,0.34,152.0,21.0
Trevor Ariza,43,107,57,162,11.0,42.0,81.0,69.0,0.426,789.0,18.0
Tim Pickett,44,185,63,149,12.0,82.0,79.0,83.0,0.434,985.0,22.0
Bernard Robinson,45,150,94,194,10.0,64.0,93.0,84.0,0.432,1095.0,23.0
Pape Sow,47,160,156,272,16.0,44.0,85.0,101.0,0.494,901.0,22.0
Ricky Minard,48,210,166,213,15.0,60.0,106.0,73.0,0.451,994.0,21.0
Christian Drejer,51,74,33,95,6.0,20.0,50.0,54.0,0.468,589.0,21.0
Romain Sato,52,179,170,297,5.0,47.0,63.0,89.0,0.404,1366.0,22.0
Matt Freije,53,185,175,178,21.0,23.0,34.0,53.0,0.415,985.0,22.0
Rickey Paulding,54,144,111,129,12.0,31.0,78.0,58.0,0.397,1051.0,21.0
Luis Flores,55,38,35,41,0.0,14.0,36.0,25.0,0.463,312.0,18.0
Luis Flores,55,234,208,122,4.0,60.0,73.0,76.0,0.442,1121.0,22.0
Marcus Douthit,56,82,63,170,92.0,45.0,76.0,87.0,0.446,861.0,23.0
Blake Stepp,58,143,88,142,4.0,36.0,93.0,58.0,0.431,1065.0,21.0
Rashad Wright,59,134,82,85,13.0,53.0,63.0,53.0,0.424,1077.0,21.0
Andrew Bogut,1,281,144,427,65.0,34.0,96.0,78.0,0.62,1224.0,20.0
Marvin Williams,2,125,138,236,17.0,39.0,56.0,92.0,0.506,800.0,18.0
Deron Williams,3,178,65,142,8.0,38.0,109.0,80.0,0.433,1315.0,20.0
Chris Paul,4,143,156,144,1.0,76.0,89.0,82.0,0.451,1069.0,19.0
Raymond Felton,5,150,94,155,11.0,72.0,129.0,71.0,0.455,1142.0,20.0
Charlie Villanueva,7,159,97,257,57.0,20.0,70.0,68.0,0.521,798.0,20.0
Channing Frye,8,227,127,282,85.0,35.0,64.0,95.0,0.554,1148.0,21.0
Ike Diogu,9,229,248,312,75.0,18.0,115.0,88.0,0.575,1164.0,21.0
Sean May,13,228,191,397,38.0,43.0,94.0,88.0,0.567,992.0,20.0
Rashad McCants,14,183,91,99,22.0,43.0,63.0,80.0,0.489,856.0,20.0
Antoine Wright,15,193,96,185,22.0,36.0,75.0,79.0,0.501,1052.0,20.0
Joey Graham,16,134,98,163,15.0,20.0,66.0,88.0,0.51,832.0,19.0
Joey Graham,16,201,157,204,5.0,30.0,88.0,102.0,0.529,1009.0,22.0
Danny Granger,17,99,65,111,19.0,19.0,31.0,54.0,0.518,380.0,19.0
Danny Granger,17,183,154,266,60.0,63.0,72.0,72.0,0.524,900.0,21.0
Hakim Warrick,19,253,211,294,27.0,33.0,86.0,79.0,0.548,1275.0,22.0
Julius Hodge,20,197,169,225,24.0,48.0,89.0,75.0,0.493,1177.0,21.0
Nate Robinson,21,188,136,135,6.0,61.0,71.0,99.0,0.463,1101.0,20.0
Jarrett Jack,22,164,123,155,3.0,58.0,110.0,54.0,0.514,1091.0,21.0
Luther Head,24,214,78,155,9.0,67.0,69.0,54.0,0.463,1297.0,22.0
Jason Maxiell,26,164,176,254,90.0,33.0,64.0,82.0,0.543,1037.0,21.0
Linas Kleiza,27,165,169,250,9.0,20.0,89.0,92.0,0.403,1038.0,20.0
Wayne Simien,29,191,142,287,16.0,15.0,60.0,67.0,0.552,892.0,21.0
David Lee,30,160,115,288,24.0,34.0,85.0,76.0,0.525,897.0,21.0
Salim Stoudamire,31,210,122,83,4.0,30.0,85.0,66.0,0.504,1126.0,22.0
Daniel Ewing,32,181,74,104,13.0,65.0,98.0,99.0,0.427,1138.0,21.0
Brandon Bass,33,181,146,272,48.0,24.0,54.0,73.0,0.567,1007.0,19.0
Ronny Turiaf,37,157,177,295,59.0,12.0,70.0,83.0,0.508,967.0,22.0
Travis Diener,38,131,124,90,1.0,31.0,58.0,46.0,0.42,783.0,22.0
Von Wafer,39,124,49,73,8.0,30.0,49.0,33.0,0.437,758.0,19.0
Chris Taft,42,159,68,218,50.0,11.0,47.0,48.0,0.58,769.0,19.0
Erazem Lorbek,46,87,37,115,19.0,22.0,38.0,58.0,0.534,541.0,18.0
Bracey Wright,47,150,126,125,15.0,29.0,68.0,50.0,0.413,917.0,20.0
Ryan Gomes,50,247,124,255,5.0,47.0,76.0,50.0,0.496,1161.0,22.0
Robert Whaley,51,48,31,54,8.0,6.0,24.0,47.0,0.348,286.0,21.0
Robert Whaley,51,203,84,224,,,,,0.498,801.0,20.0
Robert Whaley,51,294,105,263,,,,,0.512,1049.0,22.0
Orien Greene,53,63,14,88,6.0,61.0,49.0,81.0,0.434,737.0,19.0
Orien Greene,53,92,62,113,8.0,68.0,83.0,71.0,0.388,793.0,22.0
Dijon Thompson,54,183,107,222,9.0,42.0,91.0,61.0,0.474,970.0,21.0
Lawrence Roberts,55,133,119,271,29.0,45.0,61.0,67.0,0.421,838.0,20.0
Lawrence Roberts,55,171,188,351,26.0,50.0,87.0,69.0,0.448,1023.0,22.0
Alex Acker,60,183,91,201,15.0,40.0,82.0,58.0,0.45,1152.0,22.0
LaMarcus Aldridge,2,219,117,339,73.0,50.0,59.0,92.0,0.569,1247.0,20.0
Adam Morrison,3,306,240,182,11.0,35.0,76.0,66.0,0.496,1205.0,21.0
Tyrus Thomas,4,152,90,295,99.0,33.0,59.0,82.0,0.608,829.0,19.0
Shelden Williams,5,237,201,384,137.0,60.0,89.0,114.0,0.578,1198.0,22.0
Brandon Roy,6,228,171,186,26.0,46.0,75.0,81.0,0.508,1046.0,21.0
Randy Foye,7,226,136,190,21.0,46.0,71.0,71.0,0.411,1145.0,22.0
Rudy Gay,8,187,101,210,52.0,58.0,82.0,75.0,0.461,1015.0,19.0
Patrick O'Bryant,9,133,69,207,72.0,22.0,52.0,74.0,0.552,642.0,19.0
JJ Redick,11,302,221,71,2.0,52.0,90.0,54.0,0.47,1336.0,21.0
Hilton Armstrong,12,118,92,226,107.0,21.0,77.0,94.0,0.608,943.0,21.0
Ronnie Brewer,14,197,144,154,15.0,83.0,70.0,46.0,0.441,1112.0,20.0
Cedric Simmons,15,128,120,203,80.0,21.0,59.0,98.0,0.587,880.0,20.0
