,PERSON_ID,PLAYER_NAME,SEASON,ROUND_NUMBER,OVERALL_PICK,TEAM_NAME,ORGANIZATION,ORGANIZATION_TYPE,PLAYER_PROFILE_FLAG,POSITION,HEIGHT,WEIGHT,WINGSPAN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,BMI,VERTICAL_RATIO
380,200779,Steve Novak,2006,2,32,Rockets,Marquette,College/University,1,F,80.0,216.0,81.5,8.1,,,24.5,31.0,11.11,,3.37,5.0,23.72625,0.3875
381,200780,Solomon Jones,2006,2,33,Hawks,South Florida,College/University,1,F,80.5,224.0,88.75,7.4,,,32.0,39.0,11.27,,3.3,6.0,24.300297056440723,0.484472049689441
382,200781,Paul Davis,2006,2,34,Clippers,Michigan State,College/University,1,,,,,,,,,,,,,,,
383,200782,P.J. Tucker,2006,2,35,Raptors,Texas,College/University,1,,,,,,,,,,,,,,,
384,200783,Craig Smith,2006,2,36,Timberwolves,Boston College,College/University,1,F,77.5,259.0,81.5,12.2,,,30.0,29.5,11.59,,3.4,,30.3145889698231,0.38064516129032255
385,200784,Bobby Jones,2006,2,37,Timberwolves,Washington,College/University,1,G,77.75,211.0,81.5,8.0,,,28.5,34.5,11.23,,3.28,15.0,24.537876986383516,0.4437299035369775
386,200785,Kosta Perovic,2006,2,38,Warriors,KK Partizan (Serbia),Other Team/Club,1,,,,,,,,,,,,,,,
387,200786,David Noel,2006,2,39,Bucks,North Carolina,College/University,1,G,76.5,223.0,81.5,6.1,,,34.5,38.5,10.54,,3.07,20.0,26.78781665171515,0.5032679738562091
388,200787,Denham Brown,2006,2,40,SuperSonics,Connecticut,College/University,1,G,76.0,218.0,81.5,9.0,,,28.0,34.5,11.42,,3.25,12.0,26.532894736842106,0.45394736842105265
389,200788,James Augustine,2006,2,41,Magic,Illinois,College/University,1,F,80.25,227.0,84.25,5.5,,,30.0,32.5,10.54,,3.25,13.0,24.779417901611982,0.40498442367601245
390,200789,Daniel Gibson,2006,2,42,Cavaliers,Texas,College/University,1,,,,,,,,,,,,,,,
391,200790,Marcus Vinicius,2006,2,43,Hornets,Objetivo Sao Carlos (Brazil),Other Team/Club,1,,,,,,,,,,,,,,,
392,200791,Lior Eliyahu,2006,2,44,Magic,Hapoel Galil Elyon (Israel),Other Team/Club,0,,,,,,,,,,,,,,,
393,200792,Alexander Johnson,2006,2,45,Pacers,Florida State,College/University,1,,,,,,,,,,,,,,,
394,200793,Dee Brown,2006,2,46,Jazz,Illinois,College/University,1,,,,,,,,,,,,,,,
395,200794,Paul Millsap,2006,2,47,Jazz,Louisiana Tech,College/University,1,F,78.25,258.0,85.5,9.7,,,28.5,32.5,11.67,,3.3,15.0,29.621451683695863,0.41533546325878595
396,200795,Vladimir Veremeenko,2006,2,48,Wizards,CB Cornella (Spain),Other Team/Club,0,,,,,,,,,,,,,,,
397,200796,Leon Powe,2006,2,49,Nuggets,California,College/University,1,,,,,,,,,,,,,,,
398,200797,Ryan Hollins,2006,2,50,Bobcats,California-Los Angeles,College/University,1,,,,,,,,,,,,,,,
399,200798,Cheikh Samb,2006,2,51,Lakers,CB Cornella (Spain),Other Team/Club,1,,,,,,,,,,,,,,,
400,200799,Guillermo Diaz,2006,2,52,Clippers,Miami (FL),College/University,1,,,,,,,,,,,,,,,
401,200800,Yotam Halperin,2006,2,53,SuperSonics,KK Olimpija (Slovenia),Other Team/Club,0,,,,,,,,,,,,,,,
402,200801,Hassan Adams,2006,2,54,Nets,Arizona,College/University,1,,,,,,,,,,,,,,,
403,200802,Ejike Ugboaja,2006,2,55,Cavaliers,Union Bank Lagos B.C. (Nigeria),Other Team/Club,0,,,,,,,,,,,,,,,
404,200803,Edin Bavcic,2006,2,56,Raptors,KK Bosna Royal (Bosnia and Herzegovina),Other Team/Club,0,,,,,,,,,,,,,,,
405,200804,Loukas Mavrokefalidis,2006,2,57,Timberwolves,P.A.O.K. B.C. (Greece),Other Team/Club,0,,,,,,,,,,,,,,,
406,200805,JR Pinnock,2006,2,58,Mavericks,George Washington,College/University,1,,,,,,,,,,,,,,,
407,200806,Damir Markota,2006,2,59,Spurs,KK Cibona (Croatia),Other Team/Club,1,,,,,,,,,,,,,,,
408,200807,Will Blalock,2006,2,60,Pistons,Iowa State,College/University,1,G,71.25,194.0,78.0,7.2,,,35.0,40.0,11.08,,3.18,8.0,26.86502923976608,0.5614035087719298
409,201141,Greg Oden,2007,1,1,Trail Blazers,Ohio State,College/University,1,C,83.0,257.0,88.25,7.8,,,32.0,34.0,11.67,,3.27,,26.22601248366962,0.40963855421686746
410,201142,Kevin Durant,2007,1,2,SuperSonics,Texas,College/University,1,F,81.0,215.0,88.75,6.6,,,26.0,33.5,12.33,,3.45,0.0,23.03688462124676,0.41358024691358025
411,201143,Al Horford,2007,1,3,Hawks,Florida,College/University,1,F,80.0,246.0,84.75,9.1,,,31.0,35.5,12.15,,3.37,20.0,27.021562499999998,0.44375
412,201144,Mike Conley,2007,1,4,Grizzlies,Ohio State,College/University,1,G,71.0,175.0,77.75,4.2,,,35.5,40.5,11.63,,3.09,13.0,24.404879984130133,0.5704225352112676
413,201145,Jeff Green,2007,1,5,Celtics,Georgetown,College/University,1,F,79.0,228.0,85.25,3.7,,,33.5,38.0,12.0,,3.34,17.0,25.682422688671686,0.4810126582278481
414,201146,Yi Jianlian,2007,1,6,Bucks,Guangdong Southern Tigers (China),Other Team/Club,1,,,,,,,,,,,,,,,
415,201147,Corey Brewer,2007,1,7,Timberwolves,Florida,College/University,1,G,78.0,185.0,80.25,4.2,,,30.5,36.5,11.69,,3.22,11.0,21.37656147271532,0.46794871794871795
416,201148,Brandan Wright,2007,1,8,Bobcats,North Carolina,College/University,1,F,80.75,200.0,87.75,5.8,,,30.5,35.5,11.76,,3.31,2.0,21.562556911309414,0.43962848297213625
417,201149,Joakim Noah,2007,1,9,Bulls,Florida,College/University,1,F,82.0,223.0,85.25,4.8,,,32.5,37.5,11.79,,3.47,12.0,23.31484235574063,0.4573170731707317
418,201150,Spencer Hawes,2007,1,10,Kings,Washington,College/University,1,F,82.0,244.0,84.5,13.0,,,26.0,29.0,11.88,,3.51,9.0,25.51041046995836,0.35365853658536583
419,201151,Acie Law,2007,1,11,Hawks,Texas A&M,College/University,1,G,74.0,186.0,78.5,5.6,,,29.0,34.0,11.0,,3.22,8.0,23.87837837837838,0.4594594594594595
420,201152,Thaddeus Young,2007,1,12,76ers,Georgia Tech,College/University,1,F,77.75,210.0,83.5,4.9,,,34.5,37.0,11.06,,3.19,13.0,24.421583730523878,0.4758842443729904
421,201153,Julian Wright,2007,1,13,Hornets,Kansas,College/University,1,F,78.5,211.0,86.25,6.1,,,28.5,33.5,11.48,,3.36,2.0,24.071240212584687,0.4267515923566879
422,201154,Al Thornton,2007,1,14,Clippers,Florida State,College/University,1,F,77.75,221.0,85.0,5.8,,,35.0,41.0,11.96,,3.16,9.0,25.700809544979894,0.5273311897106109
423,201155,Rodney Stuckey,2007,1,15,Pistons,Eastern Washington,College/University,1,G,75.75,207.0,79.25,6.1,,,30.5,35.0,11.34,,3.11,14.0,25.360650916576805,0.46204620462046203
424,201156,Nick Young,2007,1,16,Wizards,Southern California,College/University,1,G,77.0,206.0,84.0,6.8,,,39.5,40.5,11.0,,3.25,6.0,24.425366840951256,0.525974025974026
425,201157,Sean Williams,2007,1,17,Nets,Boston College,College/University,1,,,,,,,,,,,,,,,
426,201158,Marco Belinelli,2007,1,18,Warriors,Fortitudo Pallacanestro Bologna (Italy),Other Team/Club,1,,,,,,,,,,,,,,,
427,201159,Javaris Crittenton,2007,1,19,Lakers,Georgia Tech,College/University,1,G,75.0,194.0,77.5,4.5,,,32.5,38.0,11.6,,3.32,11.0,24.24568888888889,0.5066666666666667
428,201160,Jason Smith,2007,1,20,Heat,Colorado State,College/University,1,F,82.75,233.0,82.75,7.5,,,33.5,37.5,10.96,,3.29,15.0,23.920774728233585,0.45317220543806647
429,201161,Daequan Cook,2007,1,21,76ers,Ohio State,College/University,1,G,75.0,203.0,80.25,7.0,,,30.0,34.5,11.12,,3.22,4.0,25.370488888888886,0.46
430,201162,Jared Dudley,2007,1,22,Bobcats,Boston College,College/University,1,F,77.0,219.0,79.0,7.1,,,28.0,32.0,11.32,,3.45,14.0,25.966773486254006,0.4155844155844156
431,201163,Wilson Chandler,2007,1,23,Knicks,DePaul,College/University,1,,,,,,,,,,,,,,,
432,201164,Rudy Fernandez,2007,1,24,Suns,Joventut Badalona (Spain),Other Team/Club,1,,,,,,,,,,,,,,,
433,201165,Morris Almond,2007,1,25,Jazz,Rice,College/University,1,,,,,,,,,,,,,,,
434,201166,Aaron Brooks,2007,1,26,Rockets,Oregon,College/University,1,G,70.0,161.0,76.0,2.7,,,32.5,39.5,10.57,,3.2,6.0,23.09857142857143,0.5642857142857143
435,201167,Arron Afflalo,2007,1,27,Pistons,California-Los Angeles,College/University,1,,,,,,,,,,,,,,,
436,201168,Tiago Splitter,2007,1,28,Spurs,Saski Baskonia (Spain),Other Team/Club,1,,,,,,,,,,,,,,,
437,201169,Alando Tucker,2007,1,29,Suns,Wisconsin,College/University,1,,,,,,,,,,,,,,,
438,201170,Petteri Koponen,2007,1,30,76ers,Espoon Honka (Finland),Other Team/Club,0,,,,,,,,,,,,,,,
439,201171,Carl Landry,2007,2,31,SuperSonics,Purdue,College/University,1,F,79.0,248.0,83.0,7.5,,,31.5,36.5,11.35,,3.29,21.0,27.935266784169205,0.4620253164556962
440,201172,Gabe Pruitt,2007,2,32,Celtics,Southern California,College/University,1,,,,,,,,,,,,,,,
441,201173,Marcus Williams,2007,2,33,Spurs,Arizona,College/University,1,,,,,,,,,,,,,,,
442,201174,Nick Fazekas,2007,2,34,Mavericks,Nevada-Reno,College/University,1,,,,,,,,,,,,,,,
443,201175,Glen Davis,2007,2,35,SuperSonics,Louisiana State,College/University,1,,,,,,,,,,,,,,,
444,201176,Jermareo Davidson,2007,2,36,Warriors,Alabama,College/University,1,F,81.0,230.0,88.0,6.9,,,27.0,30.0,12.63,,3.53,7.0,24.64410912970584,0.37037037037037035
445,201177,Josh McRoberts,2007,2,37,Trail Blazers,Duke,College/University,1,F,80.0,240.0,85.0,13.7,,,27.5,31.5,11.7,,3.47,12.0,26.3625,0.39375
446,201178,Kyrylo Fesenko,2007,2,38,76ers,Cherkaski Mavpy (Ukraine),Other Team/Club,1,,,,,,,,,,,,,,,
447,201179,Stanko Barac,2007,2,39,Heat,HKK Siroki (Bosnia and Herzegovina),Other Team/Club,0,,,,,,,,,,,,,,,
448,201180,Sun Sun,2007,2,40,Lakers,Beijing Olympians (China),Other Team/Club,1,F,79.75,212.0,81.0,5.1,,,29.0,34.0,10.68,,3.45,9.0,23.43310305519796,0.4263322884012539
449,201181,Chris Richard,2007,2,41,Timberwolves,Florida,College/University,1,F,79.0,252.0,88.5,7.5,,,26.5,30.5,11.39,,3.29,15.0,28.38583560326871,0.3860759493670886
450,201182,Derrick Byars,2007,2,42,Trail Blazers,Vanderbilt,College/University,1,,,,,,,,,,,,,,,
451,201183,Adam Haluska,2007,2,43,Hornets,Iowa,College/University,1,,,,,,,,,,,,,,,
452,201184,Reyshawn Terry,2007,2,44,Magic,North Carolina,College/University,1,,,,,,,,,,,,,,,
453,201185,Jared Jordan,2007,2,45,Clippers,Marist,College/University,1,G,72.0,183.0,72.0,7.0,,,24.5,28.5,11.02,,3.39,6.0,24.816550925925924,0.3958333333333333
454,201186,Stephane Lasme,2007,2,46,Warriors,Massachusetts,College/University,1,F,77.0,213.0,86.0,4.9,,,29.5,36.0,11.73,,3.22,17.0,25.255355034575814,0.4675324675324675
455,201187,Dominic McGuire,2007,2,47,Wizards,Fresno State,College/University,1,F,79.0,220.0,82.5,4.7,,,28.5,34.5,10.95,,3.25,12.0,24.781285050472682,0.43670886075949367
456,201188,Marc Gasol,2007,2,48,Lakers,CB Sant Josep (Spain),Other Team/Club,1,,,,,,,,,,,,,,,
457,201189,Aaron Gray,2007,2,49,Bulls,Pittsburgh,College/University,1,C,84.0,271.0,87.25,10.8,,,27.0,32.5,12.07,,3.7,17.0,27.000141723356013,0.3869047619047619
458,201190,Renaldas Seibutis,2007,2,50,Mavericks,Maroussi B.C. (Greece),Other Team/Club,0,,,,,,,,,,,,,,,
459,201191,JamesOn Curry,2007,2,51,Bulls,Oklahoma State,College/University,1,,,,,,,,,,,,,,,
460,201192,Taurean Green,2007,2,52,Trail Blazers,Florida,College/University,1,G,71.0,173.0,74.25,4.6,,,29.0,32.5,11.3,,3.26,8.0,24.125967070025787,0.45774647887323944
461,201193,Demetris Nichols,2007,2,53,Trail Blazers,Syracuse,College/University,1,F,78.0,211.0,84.25,6.2,,,28.5,32.5,10.39,,3.38,16.0,24.380834976988822,0.4166666666666667
462,201194,Brad Newley,2007,2,54,Rockets,Townsville Crocodiles (Australia),Other Team/Club,0,,,,,,,,,,,,,,,
463,201195,Herbert Hill,2007,2,55,Jazz,Providence,College/University,1,C,79.0,232.0,86.25,5.6,,,30.5,34.0,12.31,,3.39,15.0,26.13299150777119,0.43037974683544306
464,201196,Ramon Sessions,2007,2,56,Bucks,Nevada-Reno,College/University,1,G,74.0,185.0,76.25,6.2,,,29.5,33.5,11.65,,3.27,8.0,23.75,0.4527027027027027
465,201197,Sammy Mejia,2007,2,57,Pistons,DePaul,College/University,1,G,77.0,218.0,83.0,8.3,,,27.0,31.5,11.87,,3.49,7.0,25.848203744307643,0.4090909090909091
466,201198,Giorgos Printezis,2007,2,58,Spurs,Olympiacos B.C. (Greece),Other Team/Club,0,,,,,,,,,,,,,,,
467,201199,DJ Strawberry,2007,2,59,Suns,Maryland,College/University,1,G,75.75,199.0,78.5,4.5,,,28.5,35.0,10.87,,3.14,21.0,24.380529142023114,0.46204620462046203
468,201200,Milovan Rakovic,2007,2,60,Mavericks,KK Mega Leks (Serbia),Other Team/Club,0,,,,,,,,,,,,,,,
469,201565,Derrick Rose,2008,1,1,Bulls,Memphis,College/University,1,G,73.5,196.0,80.0,4.6,,,34.5,40.0,11.69,,3.05,10.0,25.505668934240365,0.54421768707483
470,201563,Michael Beasley,2008,1,2,Heat,Kansas State,College/University,1,F,79.0,239.0,84.25,7.7,,,30.0,35.0,11.06,,3.24,19.0,26.921486941195322,0.4430379746835443
471,201564,O.J. Mayo,2008,1,3,Timberwolves,Southern California,College/University,1,G,75.25,200.0,78.0,6.3,,,30.5,41.0,11.04,,3.14,7.0,24.829748016026315,0.5448504983388704
472,201566,Russell Westbrook,2008,1,4,Thunder,California-Los Angeles,College/University,1,G,74.25,192.0,79.75,4.8,,,30.0,36.5,10.98,,3.08,12.0,24.48294391728735,0.49158249158249157
473,201567,Kevin Love,2008,1,5,Grizzlies,California-Los Angeles,College/University,1,F,79.75,255.0,83.25,12.9,,,29.5,35.0,11.17,,3.22,18.0,28.186043769223964,0.438871473354232
474,201568,Danilo Gallinari,2008,1,6,Knicks,Olimpia Milano (Italy),Other Team/Club,1,,,,,,,,,,,,,,,
475,201569,Eric Gordon,2008,1,7,Clippers,Indiana,College/University,1,G,74.0,222.0,81.0,8.2,,,32.0,40.0,10.81,,3.01,15.0,28.5,0.5405405405405406
476,201570,Joe Alexander,2008,1,8,Bucks,West Virginia,College/University,1,F,79.25,220.0,83.5,5.8,,,32.5,38.5,11.33,,2.99,24.0,24.625182855834964,0.48580441640378547
477,201571,D.J. Augustin,2008,1,9,Bobcats,Texas,College/University,1,G,70.0,171.5,75.5,8.1,,,28.5,35.0,11.27,,3.07,2.0,24.605000000000004,0.5
478,201572,Brook Lopez,2008,1,10,Nets,Stanford,College/University,1,C,83.25,258.0,89.5,6.3,,,27.5,30.5,12.77,,3.57,7.0,26.17017017017017,0.3663663663663664
479,201573,Jerryd Bayless,2008,1,11,Pacers,Arizona,College/University,1,G,73.75,204.0,75.5,4.7,,,31.0,38.0,11.26,,3.07,10.0,26.3670439528871,0.5152542372881356
480,201574,Jason Thompson,2008,1,12,Kings,Rider,College/University,1,,,,,,,,,,,,,,,
481,201575,Brandon Rush,2008,1,13,Trail Blazers,Kansas,College/University,1,,,,,,,,,,,,,,,
482,201576,Anthony Randolph,2008,1,14,Warriors,Louisiana State,College/University,1,F,81.0,197.0,87.0,4.7,,,29.0,35.0,11.86,,3.26,7.0,21.10821521109587,0.43209876543209874
483,201577,Robin Lopez,2008,1,15,Suns,Stanford,College/University,1,,,,,,,,,,,,,,,
484,201578,Marreese Speights,2008,1,16,76ers,Florida,College/University,1,,,,,,,,,,,,,,,
485,201579,Roy Hibbert,2008,1,17,Raptors,Georgetown,College/University,1,,,,,,,,,,,,,,,
486,201580,JaVale McGee,2008,1,18,Wizards,Nevada-Reno,College/University,1,F,83.0,241.0,90.0,5.3,,,27.0,32.5,12.75,,3.25,7.0,24.593264624764117,0.39156626506024095
487,201581,JJ Hickson,2008,1,19,Cavaliers,North Carolina State,College/University,1,,,,,,,,,,,,,,,
488,201582,Alexis Ajinca,2008,1,20,Bobcats,Hyeres-Toulon Var Basket (France),Other Team/Club,1,,,,,,,,,,,,,,,
489,201583,Ryan Anderson,2008,1,21,Nets,California,College/University,1,,,,,,,,,,,,,,,
490,201584,Courtney Lee,2008,1,22,Magic,Western Kentucky,College/University,1,,,,,,,,,,,,,,,
491,201585,Kosta Koufos,2008,1,23,Jazz,Ohio State,College/University,1,,,,,,,,,,,,,,,
492,201586,Serge Ibaka,2008,1,24,Thunder,CB L'Hospitalet (Spain),Other Team/Club,1,,,,,,,,,,,,,,,
493,201587,Nicolas Batum,2008,1,25,Rockets,Le Mans Sarthe Basket (France),Other Team/Club,1,,,,,,,,,,,,,,,
494,201588,George Hill,2008,1,26,Spurs,IUPUI,College/University,1,G,73.25,181.0,81.0,3.0,,,34.0,37.5,12.2,,3.07,9.0,23.714754976761522,0.5119453924914675
495,201589,Darrell Arthur,2008,1,27,Hornets,Kansas,College/University,1,F,79.5,216.0,82.75,7.3,,,28.5,30.0,12.18,,3.14,12.0,24.02563189747241,0.37735849056603776
496,201590,Donte Greene,2008,1,28,Grizzlies,Syracuse,College/University,1,F,80.25,221.0,82.0,7.6,,,27.5,31.5,11.21,,3.2,2.0,24.12445531390417,0.3925233644859813
497,201591,DJ White,2008,1,29,Pistons,Indiana,College/University,1,,,,,,,,,,,,,,,
498,201592,J.R. Giddens,2008,1,30,Celtics,New Mexico,College/University,1,G,76.0,208.0,83.25,5.4,,,,,,,,10.0,25.315789473684212,
499,201593,Nikola Pekovic,2008,2,31,Timberwolves,KK Partizan (Serbia),Other Team/Club,1,,,,,,,,,,,,,,,
500,201594,Walter Sharpe,2008,2,32,Thunder,Alabama-Birmingham,College/University,1,,,,,,,,,,,,,,,
501,201595,Joey Dorsey,2008,2,33,Trail Blazers,Memphis,College/University,1,F,78.25,265.0,85.75,9.0,,,27.5,33.0,11.84,,3.2,19.0,30.42513448131552,0.4217252396166134
502,201596,Mario Chalmers,2008,2,34,Timberwolves,Kansas,College/University,1,,,,,,,,,,,,,,,
503,201599,DeAndre Jordan,2008,2,35,Clippers,Texas A&M,College/University,1,C,81.75,250.0,90.0,7.5,,,26.0,30.5,12.3,,3.27,8.0,26.297823789617407,0.3730886850152905
504,201600,Omer Asik,2008,2,36,Trail Blazers,Fenerbahce S.K. (Turkey),Other Team/Club,1,,,,,,,,,,,,,,,
505,201601,Luc Mbah a Moute,2008,2,37,Bucks,California-Los Angeles,College/University,1,F,77.75,221.0,86.5,7.0,,,32.0,38.5,11.71,,3.17,11.0,25.700809544979894,0.49517684887459806
506,201602,Kyle Weaver,2008,2,38,Bobcats,Washington State,College/University,1,,,,,,,,,,,,,,,
507,201603,Sonny Weems,2008,2,39,Bulls,Arkansas,College/University,1,G,76.0,193.0,82.0,4.4,,,29.0,36.5,10.58,,2.96,12.0,23.49013157894737,0.48026315789473684
508,201604,Chris Douglas-Roberts,2008,2,40,Nets,Memphis,College/University,1,,,,,,,,,,,,,,,
509,201605,Nathan Jawai,2008,2,41,Pacers,Cairns Taipans (Australia),Other Team/Club,1,,,,,,,,,,,,,,,
510,201606,Sean Singletary,2008,2,42,Kings,Virginia,College/University,1,G,71.0,183.8,76.5,4.2,,,26.0,,,,,18.0,25.63209680618925,
511,201607,Patrick Ewing,2008,2,43,Kings,Georgetown,College/University,1,F,78.0,224.0,84.25,9.4,,,35.0,42.0,11.77,,3.43,2.0,25.882971729125575,0.5384615384615384
512,201608,Ante Tomic,2008,2,44,Jazz,KK Zagreb (Croatia),Other Team/Club,0,,,,,,,,,,,,,,,
513,201609,Goran Dragic,2008,2,45,Spurs,KK Olimpija (Slovenia),Other Team/Club,1,,,,,,,,,,,,,,,
514,201610,Trent Plaisted,2008,2,46,Thunder,Brigham Young,College/University,1,,,,,,,,,,,,,,,
515,201611,Henry Walker,2008,2,47,Wizards,Kansas State,College/University,1,,,,,,,,,,,,,,,
516,201612,Malik Hairston,2008,2,48,Suns,Oregon,College/University,1,G,76.25,204.0,81.0,6.9,,,30.5,38.0,11.33,,3.08,13.0,24.66640150497178,0.49836065573770494
517,201613,Richard Hendrix,2008,2,49,Warriors,Alabama,College/University,1,F,78.75,250.0,87.0,9.2,,,26.5,28.0,10.62,,3.27,13.0,28.339632149155957,0.35555555555555557
518,201614,DeVon Hardin,2008,2,50,Thunder,California,College/University,0,F,81.5,235.0,87.0,5.8,,,29.5,32.0,11.49,,3.33,20.0,24.87184312544695,0.39263803680981596
519,201615,Shan Foster,2008,2,51,Mavericks,Vanderbilt,College/University,0,,,,,,,,,,,,,,,
520,201616,Darnell Jackson,2008,2,52,Heat,Kansas,College/University,1,F,79.0,240.5,83.25,12.5,,,27.0,31.0,11.75,,3.26,11.0,27.090450248357637,0.3924050632911392
521,201617,Tadija Dragicevic,2008,2,53,Jazz,KK Crvena zvezda (Serbia),Other Team/Club,0,,,,,,,,,,,,,,,
522,201618,Maarty Leunen,2008,2,54,Rockets,Oregon,College/University,0,,,,,,,,,,,,,,,
523,201446,Mike Taylor,2008,2,55,Trail Blazers,Idaho Stampede (D-League),Other Team/Club,1,G,72.75,166.2,79.25,3.8,,,31.0,39.0,10.98,,3.08,2.0,22.075998157792185,0.5360824742268041
524,201619,Sasha Kaun,2008,2,56,Thunder,Kansas,College/University,1,,,,,,,,,,,,,,,
525,201620,James Gist,2008,2,57,Spurs,Maryland,College/University,1,,,,,,,,,,,,,,,
526,201621,Joe Crawford,2008,2,58,Lakers,Kentucky,College/University,1,,,,,,,,,,,,,,,
527,201622,Deron Washington,2008,2,59,Pistons,Virginia Tech,College/University,1,F,77.25,198.5,81.0,7.2,,,34.0,40.0,11.03,,3.09,7.0,23.384003100093214,0.517799352750809
528,201623,Semih Erden,2008,2,60,Celtics,Fenerbahce S.K. (Turkey),Other Team/Club,1,,,,,,,,,,,,,,,
529,201933,Blake Griffin,2009,1,1,Clippers,Oklahoma,College/University,1,F,80.5,248.4,83.25,8.2,,,32.0,35.5,10.95,,3.28,22.0,26.947293700088732,0.4409937888198758
530,201934,Hasheem Thabeet,2009,1,2,Grizzlies,Connecticut,College/University,1,C,85.25,267.2,90.25,6.7,,,,,,,,,25.846575106853226,
531,201935,James Harden,2009,1,3,Thunder,Arizona State,College/University,1,G,76.0,222.0,82.75,10.1,,,31.5,37.0,11.1,,3.13,17.0,27.019736842105264,0.4868421052631579
532,201936,Tyreke Evans,2009,1,4,Kings,Memphis,College/University,1,G,76.0,220.6,83.25,7.1,,,28.5,34.0,11.81,,3.17,7.0,26.84934210526316,0.4473684210526316
533,201937,Ricky Rubio,2009,1,5,Timberwolves,Joventut Badalona (Spain),Other Team/Club,1,,,,,,,,,,,,,,,
534,201938,Jonny Flynn,2009,1,6,Timberwolves,Syracuse,College/University,1,G,71.25,195.6,76.0,6.3,,,33.0,40.0,10.86,,3.23,10.0,27.08659649122807,0.5614035087719298
535,201939,Stephen Curry,2009,1,7,Warriors,Davidson,College/University,1,G,74.0,181.0,75.5,5.7,,,29.5,35.5,11.07,,3.28,10.0,23.236486486486488,0.4797297297297297
536,201941,Jordan Hill,2009,1,8,Knicks,Arizona,College/University,1,F,81.25,232.4,85.5,6.0,,,31.0,35.0,12.23,,3.3,11.0,24.74826224852071,0.4307692307692308
537,201942,DeMar DeRozan,2009,1,9,Raptors,Southern California,College/University,1,G,77.5,211.2,81.0,4.9,,,29.0,38.5,11.88,,3.31,5.0,24.71985015608741,0.4967741935483871
538,201943,Brandon Jennings,2009,1,10,Bucks,Pallacanestro Virtus Roma (Italy),Other Team/Club,1,,,,,,,,,,,,,,,
539,201944,Terrence Williams,2009,1,11,Nets,Louisville,College/University,1,G,77.0,213.2,81.0,5.1,,,30.5,37.0,11.15,,3.18,9.0,25.279068982965086,0.4805194805194805
540,201945,Gerald Henderson,2009,1,12,Bobcats,Duke,College/University,1,G,76.0,214.6,82.25,4.4,,,31.5,35.0,11.17,,3.14,8.0,26.119078947368422,0.4605263157894737
541,201946,Tyler Hansbrough,2009,1,13,Pacers,North Carolina,College/University,1,F,80.25,234.2,83.5,8.5,,,27.5,34.0,11.12,,3.27,18.0,25.565373006861343,0.4236760124610592
542,201947,Earl Clark,2009,1,14,Suns,Louisville,College/University,1,F,80.5,228.4,86.5,5.2,,,28.5,33.0,11.17,,3.35,5.0,24.77762432004938,0.40993788819875776
543,201948,Austin Daye,2009,1,15,Pistons,Gonzaga,College/University,1,F,81.75,191.8,86.75,5.5,,,25.0,28.0,12.11,,3.55,0.0,20.175690411394477,0.3425076452599388
544,201949,James Johnson,2009,1,16,Bulls,Wake Forest,College/University,1,F,79.0,257.2,84.75,12.0,,,30.5,35.0,11.21,,3.23,18.0,28.971575068098062,0.4430379746835443
545,201950,Jrue Holiday,2009,1,17,76ers,California-Los Angeles,College/University,1,G,75.25,199.0,79.0,6.3,,,28.5,34.0,10.64,,3.21,6.0,24.70559927594618,0.45182724252491696
546,201951,Ty Lawson,2009,1,18,Timberwolves,North Carolina,College/University,1,G,71.25,196.6,72.75,6.6,,,29.0,36.5,10.98,,3.12,14.0,27.22507602339181,0.512280701754386
547,201952,Jeff Teague,2009,1,19,Hawks,Wake Forest,College/University,1,G,72.25,175.2,79.5,4.5,,,30.5,36.5,11.05,,3.18,13.0,23.5946600256223,0.5051903114186851
548,201953,Eric Maynor,2009,1,20,Jazz,Virginia Commonwealth,College/University,1,G,74.25,163.6,74.5,5.4,,,28.5,31.5,10.78,,3.19,8.0,20.861508462855266,0.42424242424242425
549,201954,Darren Collison,2009,1,21,Hornets,California-Los Angeles,College/University,1,G,72.25,166.2,75.0,5.7,,,30.5,33.5,10.45,,3.1,9.0,22.382605572251286,0.46366782006920415
550,201964,Victor Claver,2009,1,22,Trail Blazers,Valencia BC (Spain),Other Team/Club,1,,,,,,,,,,,,,,,
551,201956,Omri Casspi,2009,1,23,Kings,Maccabi Tel Aviv B.C. (Israel),Other Team/Club,1,F,79.75,211.2,81.25,8.6,,,25.5,32.5,11.15,,3.28,2.0,23.344676251216082,0.40752351097178685
552,201957,Byron Mullens,2009,1,24,Mavericks,Ohio State,College/University,1,C,83.75,258.2,85.5,8.5,,,28.5,32.5,11.1,,3.45,10.0,25.87866874582312,0.3880597014925373
553,201958,Rodrigue Beaubois,2009,1,25,Thunder,Cholet Basket (France),Other Team/Club,1,G,73.25,182.4,81.75,7.9,,,29.5,39.0,10.49,,3.15,3.0,23.898184020780675,0.5324232081911263
554,201959,Taj Gibson,2009,1,26,Bulls,Southern California,College/University,1,F,80.5,214.4,88.0,6.6,,,25.5,30.0,11.56,,3.41,12.0,23.258855754021837,0.37267080745341613
