PLAYER_ID  ,FIRST_NAME ,LAST_NAME      ,cbb_url                                                                   ,Season  ,Team                   ,Conf      ,Class ,Pos ,G    ,GS   ,MP     ,FG    ,FGA   ,FG%   ,3P    ,3PA   ,3P%   ,2P    ,2PA   ,2P%   ,eFG%  ,FT    ,FTA   ,FT%   ,ORB   ,DRB   ,TRB   ,AST   ,STL   ,BLK   ,TOV   ,PF    ,PTS   ,Awards
12133      ,Ed         ,Cota           ,https://www.sports-reference.com/cbb/players/ed-cota-1.html               ,1999-00 ,North Carolina         ,ACC       ,SR    ,G   ,35   ,34   ,1285   ,131   ,296   ,0.443 , 33   , 90   ,0.367 , 98   ,206   ,0.476 ,0.498 , 59   , 81   ,0.728 , 24.0 ,130.0 ,154   ,284   , 40   ,  5   ,115   , 45   ,354   ,
12132      ,Eric       ,Coley          ,https://www.sports-reference.com/cbb/players/eric-coley-1.html            ,1999-00 ,Tulsa                  ,WAC       ,SR    ,F   ,37   ,37   ,1092   ,178   ,340   ,0.524 , 11   , 54   ,0.204 ,167   ,286   ,0.584 ,0.54  , 50   , 88   ,0.568 , 92.0 ,158.0 ,250   ,126   ,123   , 46   , 60   ,105   ,417   ,
12131      ,Mario      ,Bland          ,https://www.sports-reference.com/cbb/players/mario-bland-1.html           ,1999-00 ,Miami (FL)             ,Big East  ,SR    ,C   ,34   ,34   , 948   ,155   ,328   ,0.473 ,  4   , 24   ,0.167 ,151   ,304   ,0.497 ,0.479 ,116   ,159   ,0.73  , 90.0 ,147.0 ,237   , 42   , 26   , 11   , 66   , 90   ,430   ,
12020      ,Lamont     ,Barnes         ,https://www.sports-reference.com/cbb/players/lamont-barnes-1.html         ,1999-00 ,Temple                 ,A-10      ,SR    ,F   ,33   ,33   , 984   ,108   ,223   ,0.484 ,  0   ,  4   ,0.0   ,108   ,219   ,0.493 ,0.484 , 80   ,125   ,0.64  , 83.0 , 83.0 ,166   , 25   , 28   , 41   , 41   , 68   ,296   ,
12019      ,Harold     ,Arceneaux      ,https://www.sports-reference.com/cbb/players/harold-arceneaux-1.html      ,1999-00 ,Weber State            ,Big Sky   ,SR    ,F   ,28   ,27   , 917   ,213   ,416   ,0.512 , 38   ,103   ,0.369 ,175   ,313   ,0.559 ,0.558 ,180   ,226   ,0.796 ,      ,      ,207   , 47   , 40   , 26   , 74   , 70.0 ,644   ,
2124       ,Malik      ,Allen          ,https://www.sports-reference.com/cbb/players/malik-allen-1.html           ,1999-00 ,Villanova              ,Big East  ,SR    ,C   ,33   ,33.0 ,1103   ,184   ,360   ,0.511 ,  0   ,  0   ,      ,184   ,360   ,0.511 ,0.511 , 99   ,143   ,0.692 , 85.0 ,158.0 ,243   , 32   , 23   , 62   , 74   , 80   ,467   ,
12154      ,Michael    ,Hicks          ,https://www.sports-reference.com/cbb/players/michael-hicks-1.html         ,2001-02 ,UT Arlington           ,Southland ,SR    ,F   ,27.0 ,20.0 , 707.0 , 94.0 ,225.0 ,0.418 , 21.0 , 65.0 ,0.323 , 73.0 ,160.0 ,0.456 ,0.464 , 54.0 , 75.0 ,0.72  , 33.0 , 50.0 , 83.0 , 26.0 , 24.0 ,  3.0 , 48.0 , 65.0 ,263.0 ,
12155      ,Andre      ,Hutson         ,https://www.sports-reference.com/cbb/players/andre-hutson-1.html          ,2000-01 ,Michigan State         ,Big Ten   ,SR    ,F   ,32   ,31   , 956   ,173   ,278   ,0.622 ,  0   ,  0   ,      ,173   ,278   ,0.622 ,0.622 , 95   ,131   ,0.725 , 69.0 ,175.0 ,244   , 61   , 27   , 17   , 52   , 79   ,441   ,
12156      ,Nate       ,James          ,https://www.sports-reference.com/cbb/players/nate-james-1.html            ,2000-01 ,Duke                   ,ACC       ,SR    ,F   ,39   ,29   ,1085   ,161   ,326   ,0.494 , 43   ,137   ,0.314 ,118   ,189   ,0.624 ,0.56  ,115   ,144   ,0.799 , 89.0 ,113.0 ,202   , 42   , 62   ,  8   , 63   , 78   ,480   ,
12158      ,Darren     ,Kelly          ,https://www.sports-reference.com/cbb/players/darren-kelly-1.html          ,2000-01 ,Texas                  ,Big 12    ,SR    ,G   ,26.0 ,26.0 , 899.0 ,133.0 ,369.0 ,0.36  , 35.0 ,127.0 ,0.276 , 98.0 ,242.0 ,0.405 ,0.408 , 98.0 ,129.0 ,0.76  , 21.0 , 98.0 ,119.0 , 76.0 , 32.0 , 12.0 , 84.0 , 50.0 ,399.0 ,
12157      ,Darrell    ,Johns          ,https://www.sports-reference.com/cbb/players/darrell-johns-1.html         ,2000-01 ,Chicago State          ,Mid-Cont  ,SR    ,C   ,25   ,15   , 590   ,121   ,239   ,0.506 ,  0   ,  0   ,      ,121   ,239   ,0.506 ,0.506 , 47   , 79   ,0.595 , 40   ,104   ,144   , 17   , 13   , 30   , 50   , 63   ,289   ,
